786630081,787142320,512239
408842517,409499558,657041
968594280,969995113,1400833
674113610,674551886,438276
965827370,966231297,403927
237826873,238224237,397364
3668503,4033833,365330
121008286,121369694,361408
235749737,236253998,504261
348569378,348930720,361342
807271924,807647788,375864
739803669,740125895,322226
82401572,82724540,322968
203921769,204255830,334061
551864299,552210455,346156
666542025,666886024,343999
780926319,781293007,366688
898385392,898731421,346029
122487671,123084115,596444
238506870,238865567,358697
351251532,351654864,403332
466845137,467218721,373584
576881837,577221565,339728
689175130,689546103,370973
800857371,801197613,340242
911909829,912250867,341038
431423237,431779133,355896
670524375,670866507,342132
784285450,784629612,344162
239217925,239567638,349713
474560332,474899732,339400
589686777,590390827,704050
707409178,707749469,340291
823356560,823786603,430043
937734357,938372998,638641
165620131,165952454,332323
872419080,872777767,358687
346141300,346458748,317448
576725356,577069338,343982
695525962,695881858,355896
922506978,922844479,337501
268313265,268660927,347662
384196174,384542400,346226
497123097,497535850,412753
609423366,609890650,467284
417956313,418271890,315577
533003065,533418289,415224
874611607,874962470,350863
456957534,457301495,343961
38021431,38541946,520515
156682549,157032446,349897
274688044,275028137,340093
386911666,387232599,320933
501794050,502129959,335909
615810767,616151535,340768
731427081,731755846,328765
851911177,852248760,337583
967493183,967850708,357525
80736893,81069443,332550
196321616,196660458,338842
308893504,309227450,333946
660453987,660798892,344905
775748167,776093544,345377
890526292,890849406,323114
3563892,3910261,346369
122301272,122629771,328499
237061093,237394343,333250
368728714,369107365,378651
629787404,630108301,320897
532270234,532599801,329567
775659825,776526917,867092
416503036,416874855,371819
622192228,622607777,415549
737171205,737656599,485394
842636509,842980022,343513
424250761,424783227,532466
535192342,535544883,352541
885625526,885931933,306407
997982034,998302981,320947
106341458,106685877,344419
215912728,216239014,326286
322793174,323139739,346565
559457540,559822759,365219
678674382,679038497,364115
794979523,795323375,343852
907248603,907589850,341247
20208494,20554602,346108
130975178,131312578,337400
150339638,150924817,585179
832785313,833132156,346843
398133127,398481543,348416
968749438,969071800,322362
438227914,438541509,313595
552108465,552446074,337609
665063923,665407453,343530
810226255,810576480,350225
272299064,272800677,501613
386163841,386505699,341858
497021994,497342569,320575
611078650,611930429,851779
732877668,733230242,352574
845666880,846006784,339904
69184628,69610174,425546
184012398,184391521,379123
301038460,301394845,356385
412887361,413228671,341310
523892400,524238730,346330
637221672,637542614,320942
749393772,749783076,389304
90186728,90524875,338147
329740448,330137027,396579
446041242,446368180,326938
559095042,559431236,336194
672143451,672491097,347646
785400740,785788788,388048
895909640,896254246,344606
8284670,8737217,452547
122846619,123171043,324424
235945733,236289082,343349
575250809,575600474,349665
693663384,694082705,419321
806279652,806616621,336969
916699689,917051199,351510
29707497,30044249,336752
377226038,377552569,326531
598092661,598427700,335039
719903231,720244400,341169
948908822,949260230,351408
64639305,64963742,324437
294026949,294760082,733133
633450399,633875390,424991
758668680,759003477,334797
